average_journey_time,average_pt_service_rate,average_intracity_journey_time,average_intercity_journey_time,pt_network_name,train_headway,bus_headway,demand_size,intra_ratio,random_seed,total_pt_cost
3631.025,0.87,2763.975,4931.6,basic,20,10,200,60,3,3084.831754632334
3563.11,0.885,2640.991666666667,4946.2875,basic,20,10,200,60,6,3084.831754632334
3642.625,0.875,2693.833333333333,5065.8125,basic,20,10,200,60,9,3084.831754632334
3155.54,0.825,2759.20625,4740.875,basic,20,10,200,80,3,3084.831754632334
3117.19,0.86,2652.08125,4977.625,basic,20,10,200,80,6,3084.831754632334
3119.13,0.825,2673.54375,4901.475,basic,20,10,200,80,9,3084.831754632334
4990.946666666667,1.0,,4990.946666666667,basic,20,10,300,0,3,3084.831754632334
4988.01,1.0,,4988.01,basic,20,10,300,0,6,3084.831754632334
5059.53,1.0,,5059.53,basic,20,10,300,0,9,3084.831754632334
4509.51,0.9566666666666668,2729.7,4954.4625,basic,20,10,300,20,3,3084.831754632334
4527.32,0.9733333333333334,2757.95,4969.6625,basic,20,10,300,20,6,3084.831754632334
4570.6866666666665,0.9533333333333334,2596.05,5064.345833333334,basic,20,10,300,20,9,3084.831754632334
4031.55,0.9033333333333332,2764.15,4876.483333333334,basic,20,10,300,40,3,3084.831754632334
4072.29,0.92,2634.266666666667,5030.972222222223,basic,20,10,300,40,6,3084.831754632334
4061.13,0.92,2607.858333333333,5029.977777777778,basic,20,10,300,40,9,3084.831754632334
3589.786666666667,0.8566666666666667,2709.8444444444444,4909.7,basic,20,10,300,60,3,3084.831754632334
3634.0833333333335,0.8966666666666666,2712.516666666667,5016.433333333333,basic,20,10,300,60,6,3084.831754632334
3566.4,0.8833333333333333,2582.1944444444443,5042.708333333333,basic,20,10,300,60,9,3084.831754632334
3140.1666666666665,0.8133333333333334,2706.5333333333333,4874.7,basic,20,10,300,80,3,3084.831754632334
3185.623333333333,0.8666666666666667,2675.958333333333,5224.283333333334,basic,20,10,300,80,6,3084.831754632334
3134.0066666666667,0.8533333333333334,2648.483333333333,5076.1,basic,20,10,300,80,9,3084.831754632334
4943.54,1.0,,4943.54,basic,20,10,400,0,3,3084.831754632334
4976.315,1.0,,4976.315,basic,20,10,400,0,6,3084.831754632334
5039.6075,1.0,,5039.6075,basic,20,10,400,0,9,3084.831754632334
4463.59,0.945,2707.0125,4902.734375,basic,20,10,400,20,3,3084.831754632334
4524.6225,0.965,2664.625,4989.621875,basic,20,10,400,20,6,3084.831754632334
4546.6825,0.965,2551.025,5045.596875,basic,20,10,400,20,9,3084.831754632334
4021.715,0.895,2724.5125,4886.516666666666,basic,20,10,400,40,3,3084.831754632334
4053.3925,0.9275,2662.3125,4980.779166666666,basic,20,10,400,40,6,3084.831754632334
4095.07,0.92,2619.46875,5078.804166666667,basic,20,10,400,40,9,3084.831754632334
3588.275,0.85,2707.045833333333,4910.11875,basic,20,10,400,60,3,3084.831754632334
3607.325,0.895,2705.6291666666666,4959.86875,basic,20,10,400,60,6,3084.831754632334
3649.86,0.91,2671.7,5117.1,basic,20,10,400,60,9,3084.831754632334
3151.2525,0.825,2733.5875,4821.9125,basic,20,10,400,80,3,3084.831754632334
3150.43,0.855,2713.44375,4898.375,basic,20,10,400,80,6,3084.831754632334
3197.035,0.85,2722.50625,5095.15,basic,20,10,400,80,9,3084.831754632334
